,estimate.mean in group High,estimate.mean in group Low,p.value,statistic.t,conf.int1,conf.int2
Observed,431,327.222222222222,0.174023058162752,1.47110968987759,-54.8432415752486,262.398797130804
Shannon,5.59629602793842,4.57409304844414,0.0543160092016532,2.21373648164054,-0.0234702198559622,2.06787617884453
Simpson,0.992710291063125,0.941821803399152,0.050327562184184,2.29432198646453,-9.20610273844568e-05,0.101869036355329
Fisher,94.0917630306609,70.6686210189535,0.234825853119668,1.26883592569968,-18.0287488626115,64.8750328860264
